T,  h, alpha, U,  U_err,  M,  M_err,  C,  C_err,  chi,  chi_err
2,           0,           1,   -0.461462, 0.000400827,    0.000242,  0.00107838,    0.195941, 0.000630866,     1.35194,  0.00602782,
1.9,           0,           1,   -0.482108, 0.000372675,   0.0004572,  0.00110926,    0.212276, 0.000762365,     1.49704,  0.00694894,
1.8,           0,           1,   -0.504175, 0.000325603,   0.0007684,  0.00123554,    0.229594, 0.000794053,     1.66869,  0.00706951,
1.7,           0,           1,   -0.528428, 0.000337007,    0.001044,  0.00123429,     0.24947,  0.00104125,     1.88803,  0.00849685,
1.6,           0,           1,   -0.554508, 0.000322221,   0.0010208,  0.00154691,    0.270294, 0.000944252,     2.15272,   0.0100626,
1.5,           0,           1,   -0.582859, 0.000382429,    0.001062,  0.00166892,    0.292905,  0.00129482,     2.49769,   0.0156434,
1.4,           0,           1,   -0.613684, 0.000455064,   0.0014628,  0.00197376,    0.317583,   0.0010691,     2.96119,   0.0203958,
1.3,           0,           1,    -0.64656, 0.000407887,   0.0016262,  0.00179491,    0.343194,  0.00163119,     3.57739,    0.019672,
1.2,           0,           1,   -0.682516, 0.000454133,   0.0005438,  0.00257494,     0.37243,  0.00172101,     4.43136,   0.0315189,
1.1,           0,           1,    -0.72075, 0.000396424,   0.0028506,  0.00338065,    0.397764,  0.00168924,     5.59046,   0.0491195,
1,           0,           1,   -0.761814,  0.00042797,    1.78e-05,  0.00470921,    0.419841,  0.00216488,     7.41469,   0.0669713,
0.9,           0,           1,   -0.804342, 0.000484166,   0.0013348,  0.00823968,    0.434702,  0.00209901,     10.2489,   0.0878532,
0.8,           0,           1,   -0.847862, 0.000546254,   -0.006376,   0.0123311,    0.442001,  0.00382186,     15.0488,    0.242009,
0.7,           0,           1,    -0.89216, 0.000507832,  -0.0147246,   0.0162894,    0.436043,  0.00435853,     24.6406,    0.324475,
0.6,           0,           1,   -0.935018,  0.00101925,   -0.017721,   0.0392478,    0.410667,  0.00409298,     41.3084,    0.716153,
0.5,           0,           1,   -0.974052,  0.00118375,    0.120616,   0.0757962,     0.32581,   0.0102973,     66.5303,     4.03677,
